,_runtime,dev loss,n_pos_enc_params,_timestamp,train epoch time,n_circ_params,batch loss,total epoch time,epoch,_step,n_bias_params,train accuracy,loss,dev eval epoch time,dev accuracy,n_all_params,n_batch_norm_params,dev F1,train F1
528,203.20496368408203,0.002088436600538569,,1715049633.1972518,2.7749067227045696,,,2.7817238569259644,0.0,528,,0.7913406286656075,0.00391731687640947,0.006817134221394857,0.7993119266055045,,,0.8159831756046267,0.8149728114178878
1056,370.2856044769287,0.0020198655579615078,,1715049800.2778926,5.55283697048823,,,5.566396256287893,1.0,1056,,0.837874355966681,0.0033079754727623326,0.013559285799662273,0.7993119266055045,,,0.81789802289282,0.8589768427034497
1584,537.4843771457672,0.002024934516040557,,1715049967.4766653,8.332907478014628,,,8.35303816397985,2.0,1584,,0.8489806827124382,0.003018016852285232,0.020130685965220135,0.805045871559633,,,0.8187633262260128,0.867739041104797
2112,704.7343103885651,0.001908202544538253,,1715050134.7265985,11.113741739590962,,,11.14053314526876,3.0,2112,,0.8568649868594931,0.0028472076737784593,0.02679140567779541,0.8084862385321101,,,0.8186753528773073,0.8741054171237528
2640,871.9403088092804,0.0019092025286560758,,1715050301.932597,13.89368533293406,,,13.927295633157097,4.0,2640,,0.8626408706885031,0.002690445933144233,0.03361030022303264,0.8084862385321101,,,0.8217716115261473,0.8785942072730614
3168,1039.2259302139282,0.0019601325786441836,,1715050469.2182183,16.67501944700877,,,16.71538551648458,5.0,3168,,0.8687285631560974,0.00257948839264788,0.040366069475809736,0.805045871559633,,,0.8210526315789474,0.8838254425040407
3696,1206.4240732192993,0.001969352330363125,,1715050636.4163613,19.454758354028066,,,19.50201656421026,6.0,3696,,0.8743856627418373,0.0024927559820258237,0.047258210182189946,0.7981651376146789,,,0.810752688172043,0.8886695617844453
4224,1373.738563299179,0.002171422978606793,,1715050803.7308514,22.23660241762797,,,22.290587190787,7.0,4224,,0.877518597158087,0.0024116255811905867,0.053984773159027104,0.8004587155963303,,,0.8125,0.8913561710590435
4752,1540.9400427341461,0.002137081167840083,,1715050970.9323308,25.016448068618775,,,25.077274358272554,8.0,4752,,0.8780085821615763,0.0023588582037672237,0.06082628965377808,0.8107798165137615,,,0.8223896663078579,0.8914921154811274
5280,1707.5317516326904,0.0020239584216284095,,1715051137.5240397,27.786120959122975,,,27.853798464934034,9.0,5280,,0.8817205897637679,0.0022985132257877035,0.0676775058110555,0.8004587155963303,,,0.8148936170212766,0.8948826898208018
5808,1874.2753853797913,0.002184040331785832,,1715051304.2676735,30.55824405749639,,,30.63285421530406,10.0,5808,,0.8839032502338565,0.002258200370933886,0.07461015780766805,0.8027522935779816,,,0.8150537634408602,0.8967229787739899
6336,2040.6235642433167,0.002138903894282262,,1715051470.6158524,33.32397327025731,,,33.405319404602054,11.0,6336,,0.8856107737308646,0.002226527448027884,0.08134613434473674,0.801605504587156,,,0.818848167539267,0.8980844533813102
6864,2207.2872276306152,0.0021442221392185315,,1715051637.2795157,36.09482750892639,,,36.18304295539856,12.0,6864,,0.8869470964676536,0.0021965134527747367,0.08821544647216797,0.8165137614678899,,,0.8260869565217391,0.8993788819875776
7392,2374.300953388214,0.0023123104501208036,,1715051804.2932415,38.871586084365845,,,38.96660097440084,13.0,7392,,0.889144604968151,0.0021613959519676818,0.0950148900349935,0.8107798165137615,,,0.8257655755015839,0.9012564475598466
7920,2541.2275247573853,0.0022694624687006715,,1715051971.2198129,41.64684337377548,,,41.748706392447154,14.0,7920,,0.8915945299855974,0.002137341704332695,0.10186301867167157,0.7935779816513762,,,0.8060344827586207,0.9032736715199852
8448,2708.7689938545227,0.0023177842344712773,,1715052138.761282,44.432337590058644,,,44.54105997482936,15.0,8448,,0.8937029503036422,0.002112979271770892,0.10872238477071128,0.7958715596330275,,,0.8110403397027601,0.9052929581563943
8976,2876.007907152176,0.0023276524259409773,,1715052306.0001953,47.21284815073013,,,47.32837101618449,16.0,8976,,0.892574499992576,0.0020931351399283275,0.11552286545435589,0.8073394495412844,,,0.8208955223880597,0.9042900797692908
9504,3043.231211900711,0.0024283853692745943,,1715052473.2235,49.99318367242813,,,50.115421954790754,17.0,9504,,0.8937326463644597,0.002085735355013436,0.12223828236262005,0.7981651376146789,,,0.8127659574468085,0.9050707625376361
10032,3210.5716688632965,0.002337855893537539,,1715052640.563957,52.77541766961416,,,52.9044011592865,18.0,10032,,0.895751978500052,0.0020529949767199916,0.12898348967234294,0.7958715596330275,,,0.8098290598290598,0.9070644764186533
10560,3377.3894505500793,0.0022365168557254545,,1715052807.3817387,55.548862512906396,,,55.68469327688217,19.0,10560,,0.895751978500052,0.0020476307165541467,0.13583076397577923,0.801605504587156,,,0.8125677139761647,0.9070497120540147
11088,3543.7845525741577,0.0025384346484591106,,1715052973.7768407,58.31518650452296,,,58.457939898967744,20.0,11088,,0.8967913406286656,0.0020168401206542776,0.14275339444478355,0.7901376146788991,,,0.8042780748663102,0.9079423099845048
11616,3710.54426074028,0.0023221749504771802,,1715053140.5365489,61.08762972752253,,,61.23726407289505,21.0,11616,,0.8975634382099215,0.0020094832457470046,0.14963434537251794,0.7970183486238532,,,0.8142707240293809,0.9085073934089252
12144,3877.4284653663635,0.0024486023830164465,,1715053307.4207535,63.86213744084041,,,64.01866310437521,22.0,12144,,0.8973852618450162,0.00200185484530501,0.15652566353480024,0.8038990825688074,,,0.8171122994652407,0.9084550885512565
12672,4044.65252494812,0.002385540839728959,,1715053474.644813,66.64225164651872,,,66.80572576125464,23.0,12672,,0.898290991699951,0.0019988892823544005,0.16347411473592124,0.7993119266055045,,,0.8140276301806588,0.9091584224067051
13200,4211.8935577869415,0.00242549409970231,,1715053641.885846,69.42277162869772,,,69.5930721640587,24.0,13200,,0.8995976183759224,0.0019758937110132546,0.17030053536097212,0.7958715596330275,,,0.8077753779697624,0.9104181018493985
13728,4379.40714097023,0.0022310839812143134,,1715053809.399429,72.20786387523016,,,72.38496084213259,25.0,13728,,0.8994788341326523,0.0019787925664374153,0.177096966902415,0.8096330275229358,,,0.8199566160520607,0.9102407721680101
14256,4546.092702150345,0.0021996255109616378,,1715053976.0849903,74.97934492031735,,,75.16304943561556,26.0,14256,,0.9013348379337481,0.0019453602053348831,0.18370451529820764,0.8084862385321101,,,0.8206229860365198,0.911913252117661
14784,4713.409157991409,0.0024797182974465397,,1715054143.401446,77.76116396188738,,,77.95165284872057,27.0,14784,,0.9018545189980549,0.001957120309100972,0.19048888683319096,0.8027522935779816,,,0.8150537634408602,0.9123086311655921
15312,4880.296254873276,0.002255770318005063,,1715054310.288543,80.53590782086056,,,80.73310031096142,28.0,15312,,0.9048092770493994,0.0019154777504588577,0.19719249010086062,0.8096330275229358,,,0.8211206896551724,0.9151007111358309
15840,5047.608546495438,0.0023201286382631423,,1715054477.6008346,83.31760892470679,,,83.52163408199948,29.0,15840,,0.9027454008225809,0.001919670950029349,0.20402515729268395,0.7947247706422018,,,0.8089647812166488,0.9131345817198027
