,n_pos_enc_params,_timestamp,dev accuracy,n_clas_params,n_circ_params,train accuracy,_step,_runtime,n_all_params,loss,dev loss,total epoch time,epoch,batch loss,n_bias_params,train F1,dev F1,dev eval epoch time,train epoch time
1054,,1715223096.7315931,0.7672018348623854,,,0.7564032131137804,1054,594.419732093811,,0.009814508175552197,0.0028478131381743546,9.305523407459258,0.0,,,0.7773344191096634,0.7842720510095643,0.0068958441416422525,9.298627563317616
2108,,1715223657.3186266,0.7740825688073395,,,0.7987200997787643,2108,1155.0067656040192,,0.008538224372437689,0.002656076957873248,18.64863632917404,1.0,,,0.8174767739329474,0.7924130663856691,0.012952176729838054,18.635684152444203
3162,,1715224217.1026468,0.7809633027522935,,,0.8052383851282128,3162,1714.7907857894897,,0.007934809036408096,0.002521002169595946,27.978365874290464,2.0,,,0.8256019571084786,0.7978835978835979,0.019191491603851318,27.959174382686612
4216,,1715224777.8881862,0.783256880733945,,,0.8112369894133543,4216,2275.5763251781464,,0.0075644790492582934,0.0024257082184520338,37.32478679815928,3.0,,,0.832734688507335,0.8008429926238145,0.02522092660268148,37.299565871556595
5270,,1715225337.9903932,0.783256880733945,,,0.8161071433874296,5270,2835.6785321235657,,0.007319353901093308,0.002320313877468809,46.65981952746709,4.0,,,0.8377843848642418,0.799575821845175,0.03127380609512329,46.628545721371964
6324,,1715225898.2649438,0.7878440366972477,,,0.8178146668844378,6324,3395.9530827999115,,0.007126713669835158,0.0023196577137216514,55.99772444963455,5.0,,,0.8396958532570353,0.8054679284963197,0.03760077953338623,55.96012367010116
7378,,1715226458.2312284,0.786697247706422,,,0.8188391809826426,7378,3955.919367313385,,0.006981996931469193,0.0022324270338093468,65.33049114545186,6.0,,,0.8408364532919368,0.805439330543933,0.04361533721288045,65.28687580823897
8432,,1715227020.9303985,0.786697247706422,,,0.8213781941825417,8432,4518.618537425995,,0.00683526022984464,0.002203498685031856,74.7088058869044,7.0,,,0.8427903086694023,0.802547770700637,0.04995134274164836,74.65885454416274
9486,,1715227581.4693806,0.7798165137614679,,,0.8222393799462502,9486,5079.157519578934,,0.006725902639165817,0.002270419492360649,84.05111804405848,8.0,,,0.8440374143456397,0.7987421383647799,0.05608176390329997,83.99503628015516
10540,,1715228142.9590557,0.7901376146788991,,,0.8232935901052726,10540,5640.647194623947,,0.0066318875742474755,0.0021373888631479455,93.40927465756735,9.0,,,0.8447540406214534,0.8067581837381204,0.06228775183359782,93.34698690573373
11594,,1715228702.052284,0.7901376146788991,,,0.8230560216187323,11594,6199.740422964096,,0.00656245584852469,0.0022186814645014773,102.72749117215476,10.0,,,0.8445818172333294,0.8059384941675504,0.06866282224655151,102.65882834990818
12648,,1715229263.1264787,0.7901376146788991,,,0.8255207946665875,12648,6760.81461763382,,0.006470846771657592,0.0021602649139154943,112.07872372468314,11.0,,,0.846446352267827,0.8055260361317748,0.07475426197052001,112.00396946271259
13702,,1715229824.9575708,0.7970183486238532,,,0.8265156127039748,13702,7322.6457097530365,,0.006392955259199983,0.0021052113435137162,121.44257121086122,12.0,,,0.8472679738562091,0.8106951871657754,0.08068036238352456,121.36189084847767
14756,,1715230386.368794,0.7993119266055045,,,0.8283122243834355,14756,7884.056932926178,,0.0063395465773855315,0.0020847653782148975,130.79942071437836,13.0,,,0.8487053004828137,0.8128342245989305,0.08675169547398884,130.71266901890436
15810,,1715230948.0768065,0.7889908256880734,,,0.8284607046875232,15810,8445.76494550705,,0.006276882266599682,0.002171101339093042,140.1612168510755,14.0,,,0.8487332242225859,0.8038379530916845,0.09306233326594034,140.06815451780955
16864,,1715231509.1461093,0.7958715596330275,,,0.8269313575554202,16864,9006.834248304367,,0.0062370107807375565,0.002043249991235383,149.51236795981725,15.0,,,0.8473026436450337,0.8090128755364807,0.09923248291015624,149.4131354769071
17918,,1715232070.5150075,0.8004587155963303,,,0.8294852187857281,17918,9568.203146457672,,0.00620122263076801,0.0020972424690876533,158.86851241985957,16.0,,,0.8491963441537976,0.8133047210300429,0.10538748502731322,158.76312493483223
18972,,1715232633.2884226,0.7947247706422018,,,0.8294109786336843,18972,10130.976561546326,,0.006156892562776662,0.002080945896172742,168.2480653166771,17.0,,,0.8491603975474943,0.8081457663451233,0.11145871877670287,168.13660659790037
20026,,1715233194.3828208,0.7981651376146789,,,0.8290843219646914,20026,10692.070959806442,,0.006131368894796792,0.00212586691620153,177.59963445663453,18.0,,,0.8489825905566561,0.810752688172043,0.11779993375142414,177.48183452288308
21080,,1715233755.6072483,0.7970183486238532,,,0.8301385321237138,21080,11253.295387268066,,0.006106100500884035,0.002075527751937919,186.95337078571322,19.0,,,0.8497149312945009,0.8094725511302476,0.12383741935094196,186.82953336636223
22134,,1715234315.5959141,0.8004587155963303,,,0.8301533801541225,22134,11813.284053087234,,0.006067363655620801,0.002121149229073743,196.2865106225014,20.0,,,0.8498050183164612,0.8129032258064516,0.12980856895446777,196.15670205354687
23188,,1715234875.5004072,0.7935779816513762,,,0.8302721643973927,23188,12373.188546180725,,0.006048451101346813,0.0021600565027206317,205.61824764410656,21.0,,,0.8498903494373022,0.8072805139186295,0.13593995173772175,205.48230769236878
24242,,1715235438.116729,0.7993119266055045,,,0.8306582131880206,24242,12935.804867982864,,0.006023437704271293,0.002088330822800278,214.99518156449003,22.0,,,0.8500900379868295,0.8112189859762675,0.14228490193684895,214.8528966625531
25296,,1715235998.9362278,0.7981651376146789,,,0.8310591100090573,25296,13496.624366760254,,0.006015913955342147,0.0020489196438308157,224.34216841856642,23.0,,,0.8503485466263317,0.8103448275862069,0.14861958821614582,224.19354883035018
26350,,1715236560.3758066,0.801605504587156,,,0.83126698243478,26350,14058.063945531845,,0.005984811834592391,0.002060142747305949,233.69949048360192,24.0,,,0.8507878151260504,0.8141783029001074,0.154867148399353,233.5446233352025
27404,,1715237122.2013395,0.7993119266055045,,,0.8316381831949992,27404,14619.889478445053,,0.005994442787017692,0.0020370520993110235,243.0632452050845,25.0,,,0.8509026837253948,0.8120300751879699,0.16089454889297483,242.90235065619146
28458,,1715237681.8628721,0.7935779816513762,,,0.8320539280464446,28458,15179.55101108551,,0.005968942148587856,0.0020476529084214375,252.3909325440725,26.0,,,0.8511377544977166,0.8064516129032258,0.16704540252685546,252.22388714154556
29512,,1715238243.2555227,0.8004587155963303,,,0.832410280776255,29512,15740.943661689758,,0.005959534244303073,0.00210875911860291,261.74747183720274,27.0,,,0.8514184163759626,0.8120950323974082,0.17318721612294513,261.5742846210797
30566,,1715238804.306325,0.7993119266055045,,,0.8320093839552184,30566,16301.994463920593,,0.005961036725582975,0.0021247115293774035,271.0983138561249,28.0,,,0.851249013936366,0.8112189859762675,0.17958820660909014,270.91872564951575
31620,,1715239364.5405645,0.7958715596330275,,,0.8321281681984884,31620,16862.22870349884,,0.005939248358267527,0.002164344448562062,280.43554668426515,29.0,,,0.8512877173598505,0.8081896551724138,0.18590426842371618,280.2496424158414
